row,column,rpf,cell,pixels
A,1,0.18,yes,136.365
A,2,0.37,yes,138.342
A,3,0.73,yes,148.383
A,4,1.47,yes,179.39
A,5,3,yes,192.649
A,6,5.9,yes,206.768
A,7,0,yes,127.151
A,8,0,no,121.413
B,1,0.18,yes,145.37
B,2,0.37,yes,146.844
B,3,0.73,yes,153.264
B,4,1.47,yes,172.8
B,5,3,yes,191.86
B,6,5.9,yes,219.946
B,7,0,yes,121.929
B,8,0,no,119.411
C,1,0.18,yes,144.912
C,2,0.37,yes,151.849
C,3,0.73,yes,149.094
C,4,1.47,yes,169.031
C,5,3,yes,196.324
C,6,5.9,yes,215.067
C,7,0,yes,133.943
C,8,0,no,121.246
D,1,0.18,yes,141.73
D,2,0.37,yes,154.528
D,3,0.73,yes,154.522
D,4,1.47,yes,174.737
D,5,3,yes,211.064
D,6,5.9,yes,229.162
D,7,0,yes,123.791
D,8,0,no,15.518
E,1,0.18,yes,148.52
E,2,0.37,yes,159.574
E,3,0.73,yes,161.489
E,4,1.47,yes,181.328
E,5,3,yes,193.306
E,6,5.9,yes,219.701
E,7,0,yes,123.795
E,8,0,no,121.908
F,1,0.18,yes,141.2233
F,2,0.37,yes,161.782
F,3,0.73,yes,171.168
F,4,1.47,yes,177.93
F,5,3,yes,187.031
F,6,5.9,yes,200.98
F,7,0,yes,126.06
F,8,0,no,121.74
