Strain,Treatment,Rep,Dilution,Incolumn_mL,Colony
714,Rpf+,1,1E6,0.1,0
714,Rpf+,2,1E6,0.1,103
714,Rpf+,3,1E6,0.1,280
714,Rpf+,4,1E6,0.1,0
714,Rpf-,1,1E6,0.1,0
714,Rpf-,2,1E6,0.1,0
714,Rpf-,3,1E6,0.1,0
714,Rpf-,4,1E6,0.1,0
711,Rpf+,1,1E6,0.1,708
711,Rpf+,2,1E6,0.1,300
711,Rpf+,3,1E6,0.1,524
711,Rpf+,4,1E6,0.1,604
711,Rpf-,1,1E6,0.1,660
711,Rpf-,2,1E6,0.1,532
711,Rpf-,3,1E6,0.1,1176
711,Rpf-,4,1E6,0.1,520
812,Rpf+,1,1E6,0.1,123
812,Rpf+,2,1E6,0.1,62
812,Rpf+,3,1E6,0.1,63
812,Rpf+,4,1E6,0.1,110
812,Rpf-,1,1E6,0.1,42
812,Rpf-,2,1E6,0.1,75
812,Rpf-,3,1E6,0.1,52
812,Rpf-,4,1E6,0.1,60
