Curve,b0,A,umax,L,z,umax.lw,umax.up,umax.lw.FI,umax.up.FI
A1,0.0536,3.081,0.067,69.4698,-4.7851,0.0654,0.0686,0.0656,0.0683
A2,0.064,4.2894,0.0572,73.6892,-5.7103,0.0568,0.0576,0.0569,0.0575
A3,0.0686,3.2081,0.0701,70.9011,-5.9416,0.0695,0.0706,0.0696,0.0705
A4,0.0713,3.0581,0.083,71.1142,-4.3944,0.0803,0.0859,0.0807,0.0854
A5,0.0592,48.4629,0.1686,146.5781,-3.7892,NA,NA,0.1532,0.1841
A6,0.0647,7.5239,0.0482,89.2827,-5.7877,0.0467,0.0494,0.048,0.0484
A7,0.0725,9.1358,0.0586,88.4347,-3.991,0.0451,0.064,0.0572,0.06
A8,0.078,2.8569,0.0333,71.8051,-4.8393,0.0325,0.0342,0.0326,0.034
A9,0.0586,2.3945,0.0244,77.8827,-6.0215,0.0238,0.0251,0.0239,0.0249
A10,0.0566,-7.5897,0.0426,93.0775,-4.5768,0.0311,0.08,0.0416,0.0436
A11,0.0424,5.5518,0.0332,86.1468,-4.8248,0.0304,0.0358,0.0327,0.0338
A12,0.0541,4.4529,0.0304,79.4526,-4.6947,0.0277,0.0325,0.0299,0.0309
