Strain	variable	mean	sem	lower	upper
KBS0701	A	0.071070031	0.019071226	0.051998804	0.090141257
KBS0701	umax	0.11192908	0.034030469	0.077898611	0.145959549
KBS0701	L	-0.006130155	0.005916826	-0.012046981	-0.000213328
KBS0702	A	0.139651582	0.020490434	0.119161148	0.160142016
KBS0702	umax	0.502694869	0.010456354	0.492238515	0.513151223
KBS0702	L	0.816604463	0.484597961	0.332006501	1.301202424
KBS0703	A	0.189688075	0.020764477	0.168923598	0.210452553
KBS0703	umax	0.212089865	0.034841896	0.177247968	0.246931761
KBS0703	L	-0.273683121	0.096643856	-0.370326977	-0.177039265
KBS0705	A	0.123864474	0.007064552	0.116799922	0.130929026
KBS0705	umax	-0.317454927	0.01158346	-0.329038387	-0.305871467
KBS0705	L	-0.151802993	0.01091099	-0.162713983	-0.140892003
KBS0706	A	0.197001809	0.04388939	0.153112419	0.240891199
KBS0706	umax	-0.447692033	0.017197591	-0.464889624	-0.430494442
KBS0706	L	-0.228730402	0.035101994	-0.263832396	-0.193628407
KBS0710	A	-0.255665667	0.201495888	-0.457161555	-0.054169779
KBS0710	umax	0.047863528	0.044220617	0.003642912	0.092084145
KBS0710	L	0.009572935	0.013277277	-0.003704342	0.022850212
KBS0711	A	-0.142106542	0.105948868	-0.24805541	-0.036157673
KBS0711	umax	-0.074181616	0.603222972	-0.677404589	0.529041356
KBS0711	L	0.559687357	0.028406698	0.531280658	0.588094055
KBS0712	A	-0.001266807	0.033028256	-0.034295063	0.03176145
KBS0712	umax	0.092672297	0.044198465	0.048473832	0.136870762
KBS0712	L	0.458799201	0.28486502	0.173934181	0.743664222
KBS0714	A	0.146410713	0.024970328	0.121440385	0.171381041
KBS0714	umax	0.024607084	0.017825185	0.006781899	0.042432268
KBS0714	L	-0.270985757	0.006427185	-0.277412942	-0.264558572
KBS0715	A	0.066390061	0.036665754	0.029724307	0.103055814
KBS0715	umax	0.086491999	0.059525577	0.026966422	0.146017575
KBS0715	L	0.032858942	0.216147422	-0.18328848	0.249006365
KBS0724	A	0.01390211	0.010182137	0.003719973	0.024084248
KBS0724	umax	-0.200737009	0.012006525	-0.212743533	-0.188730484
KBS0724	L	-0.109773926	0.045230754	-0.155004679	-0.064543172
KBS0812	A	-0.144082941	0.030724361	-0.174807302	-0.113358579
KBS0812	umax	0.249153114	0.020095886	0.229057228	0.269249001
KBS0812	L	-0.062992773	0.01322353	-0.076216303	-0.049769243
